Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
		µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
21/01/2010	13	3						65	0,4	44	17,2	42	1008				
21/01/2010	14	3	0,1			16		72	1	63	16,2	49	1007			12	11
21/01/2010	15	3	0,2			18		65	1,4	67	15,4	57	1007			10	8
21/01/2010	16	3	0,1			23		58	1,2	74	14,2	65	1008			11	7
21/01/2010	17	3	0,1			17		50	0,6	75	13,6	69	1008			9	6
21/01/2010	18	3	0,1			14		57	0,5	76	13,3	69	1009			7	5
21/01/2010	19	3	0,1			14		56	0,3	70	13	68	1009			7	5
21/01/2010	20	3	0,1			22		16	0,3	15	12,2	73	1009			16	13
21/01/2010	21	3	0,1			17		13	0,2	9	11,9	73	1009			12	10
21/01/2010	22	3	0,1			19		14	0,6	336	10,3	81	1009			15	13
21/01/2010	23	3	0,1			14		31	1	329	9,4	83	1009			12	10
22/01/2010	00	3	0,6			12		32	0,8	329	8,8	84	1009			10	8
22/01/2010	01	3	0,4			11		32	1	322	8,3	84	1008			10	8
22/01/2010	02	3	0,1			14		25	1	330	7,7	86	1008			13	11
22/01/2010	03	3	0,1			13		23	1	328	7,6	82	1008			11	10
22/01/2010	04	3	0,1			11		27	0,6	324	7,7	78	1008			9	7
22/01/2010	05	3	0,1			9		33	0,7	331	8,7	74	1007			7	6
22/01/2010	06	3	0,1			10		28	1,1	322	8,2	76	1007			8	6
22/01/2010	07	3	0,1			17		23	1,3	317	8,7	74	1007			9	7
22/01/2010	08	3	0,1					10	0,7	318	9	71	1007				
22/01/2010	09	3	0,1			63		28	0,6	293	12	60	1007			15	9
22/01/2010	10	3	0,1			51		45	0,3	325	15	50	1007			15	10
22/01/2010	11	3	0,2			39		48	0,1	51	15,9	47	1007			15	11
22/01/2010	12	3	0,1			30		56	0,1	48	16,2	44	1006			12	9
22/01/2010	13	3	0,1			23		58	0,3	45	16,3	46	1005			12	10
22/01/2010	14	3	0,1			20		61	0,4	61	16,4	45	1005			12	9
22/01/2010	15	3	0,1			24		64	0,9	60	15,4	52	1004			16	13
22/01/2010	16	3	0,1			35		59	0,7	72	14,7	61	1004			25	21
22/01/2010	17	3	0,1			37		50	0,5	75	13,4	70	1005			25	21
22/01/2010	18	3	0,1			25		27	0,2	54	12,3	78	1005			18	14
22/01/2010	19	3	0,3			40		6	0,2	37	11,6	82	1005			28	24
22/01/2010	20	3	0,3			42		4	0,5	335	10,3	87	1006			30	26
22/01/2010	21	3	0,2			37		6	0,5	360	9,1	89	1006			30	27
22/01/2010	22	3	0,1			35		5	0,5	1	9,3	86	1006			28	25
22/01/2010	23	3	0,1			29		7	0,6	357	8,5	86	1006			25	23
23/01/2010	00	3	0,1			31		11	0,3	16	9	83	1005			26	23
23/01/2010	01	3	0,1			21		18	0,6	328	7,6	88	1005			18	17
23/01/2010	02	3	0,1			24		18	0,7	348	7,9	87	1005			21	19
23/01/2010	03	3	0,1			19		38	0,6	34	9,3	82	1004			17	15
