EXPORTACION PROMEDIOS DIARIOS																																
ESTACION:Alacant - Rabassa	CODIGO:03014009																															
FECHA	SO2		CO		NO		NO2		PM2.5		PM10		PM1		NOx		O3		Veloc.		Direc.		Temp.		H.Rel.		Pres.		R.Sol.		Precip.	
DD/MM/AAAA	µg/m³	flag	mg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	m/s	flag	grados	flag	°C	flag	% H.R.	flag	mb	flag	W/m²	flag	l/m²	flag
1/1/2011 0:00	3	V	0,3	V	3	V	20	V	37	V	42	V	35	V	24	V	26	V	0,4	V	351	V	11,9	V	87	V	1004	V	58	V	0,1	V
2/1/2011 0:00	 		0,2	V	3	V	16	V	10	V	13	V	9	V	20	V	42	V	0,7	V	335	V	13,3	V	65	V	1002	V	83	V	0	V
3/1/2011 0:00	 		0,3	V	7	V	23	V	10	V	25	V	7	V	33	V	37	V	0,9	V	317	V	10,5	V	66	V	1005	V	98	V	0	V
4/1/2011 0:00	 		0,3	V	4	V	22	V	12	V	22	V	10	V	27	V	35	V	0,9	V	287	V	12,1	V	63	V	1003	V	89	V	0	V
5/1/2011 0:00	 		0,3	V	7	V	30	V	14	V	23	V	13	V	40	V	31	V	0,7	V	275	V	14,1	V	63	V	1001	V	93	V	0	V
6/1/2011 0:00	 		0,3	V	5	V	21	V	18	V	24	V	16	V	28	V	31	V	0,5	V	307	V	14,3	V	70	V	1001	V	98	V	0	V
7/1/2011 0:00	 		0,2	V	11	V	28	V	19	V	32	V	16	V	45	V	20	V	0,7	V	285	V	14	V	67	V	1003	V	73	V	0	V
8/1/2011 0:00	 		0,2	V	6	V	21	V	10	V	15	V	8	V	30	V	45	V	0,7	V	306	V	13,3	V	67	V	1005	V	104	V	0	V
9/1/2011 0:00	 		0,2	V	2	V	17	V	10	V	13	V	8	V	19	V	46	V	0,9	V	300	V	13,4	V	62	V	1003	V	85	V	0	V
10/1/2011 0:00	 		0,2	V	4	V	17	V	4	V	17	V	2	V	23	V	58	V	1,3	V	301	V	14,2	V	49	V	1007	V	107	V	0	V
11/1/2011 0:00	 		0,2	V	4	V	18	V	4	V	16	V	2	V	23	V	55	V	1,7	V	283	V	16,2	V	51	V	1007	V	105	V	0	V
12/1/2011 0:00	 		0,2	V	5	V	23	V	6	V	12	V	4	V	30	V	43	V	1	V	348	V	15,7	V	57	V	1010	V	104	V	0	V
13/1/2011 0:00	 		0,3	V	12	V	31	V	13	V	22	V	11	V	48	V	21	V	0,7	V	286	V	13,3	V	71	V	1010	V	105	V	0	V
14/1/2011 0:00	 		0,3	V	11	V	38	V	16	V	24	V	14	V	54	V	21	V	0,7	V	281	V	13,1	V	69	V	1008	V	109	V	0	V
15/1/2011 0:00	 		0,2	V	4	V	27	V	23	V	26	V	21	V	33	V	28	V	0,6	V	314	V	11,7	V	78	V	1012	V	88	V	0	V
16/1/2011 0:00	 		0,3	V	4	V	17	V	30	V	32	V	29	V	21	V	35	V	0,5	V	291	V	10,2	V	84	V	1013	V	100	V	0	V
17/1/2011 0:00	 		0,2	V	9	V	28	V	35	V	41	V	33	V	40	V	36	V	0,3	V	34	V	11,3	V	81	V	1013	V	69	V	0	V
18/1/2011 0:00	 		0,2	V	3	V	22	V	24	V	30	V	23	V	25	V	46	V	0,3	V	23	V	11,9	V	73	V	1012	V	40	V	0	V
19/1/2011 0:00	3	V	0,2	V	9	V	31	V	22	V	33	V	20	V	43	V	38	V	0,3	V	9	V	12,6	V	70	V	1008	V	40	V	0	V
20/1/2011 0:00	3	V	0,2	V	13	V	25	V	32	V	41	V	30	V	44	V	28	V	0,4	V	3	V	11,6	V	78	V	1006	V	82	V	0	V
21/1/2011 0:00	3	V	0,1	V	2	V	15	V	13	V	23	V	11	V	17	V	57	V	1,1	V	360	V	9,3	V	39	V	1006	V	118	V	0	V
22/1/2011 0:00	3	V	0,3	V	3	V	19	V	9	V	15	V	8	V	22	V	58	V	0,8	V	333	V	5,6	V	45	V	1006	V	121	V	0	V
23/1/2011 0:00	3	V	0,3	V	2	V	9	V	8	V	10	V	7	V	10	V	68	V	1	V	28	V	6,1	V	56	V	1004	V	65	V	0	V
24/1/2011 0:00	3	V	0,2	V	2	V	12	V	10	V	14	V	9	V	14	V	70	V	1,1	V	36	V	8,6	V	53	V	1005	V	102	V	0	V
25/1/2011 0:00	3	V	0,3	V	5	V	25	V	19	V	26	V	17	V	32	V	42	V	0,4	V	13	V	9	V	67	V	1004	V	29	V	0	V
26/1/2011 0:00	3	V	0,2	V	2	V	14	V	10	V	13	V	9	V	16	V	66	V	0,9	V	48	V	10,7	V	66	V	994	V	91	V	0	V
27/1/2011 0:00	3	V	0,2	V	4	V	23	V	6	V	7	V	5	V	28	V	46	V	0,6	V	353	V	9,8	V	73	V	987	V	24	V	2,5	V
28/1/2011 0:00	3	V	0,2	V	12	V	32	V	11	V	14	V	10	V	49	V	27	V	0,4	V	350	V	9,4	V	84	V	994	V	34	V	0,2	V
29/1/2011 0:00	3	V	0,2	V	3	V	12	V	8	V	11	V	7	V	15	V	55	V	1,1	V	304	V	11,1	V	60	V	995	V	118	V	0	V
30/1/2011 0:00	3	V	0,2	V	2	V	8	V	7	V	8	V	6	V	10	V	62	V	0,8	V	271	V	10,1	V	60	V	997	V	104	V	0,5	V
31/1/2011 0:00	3	V	0,2	V	5	V	14	V	9	V	11	V	8	V	21	V	57	V	0,9	V	350	V	9,6	V	57	V	1001	V	86	V	0,1	V
1/2/2011 0:00	3	V	0,2	V	3	V	19	V	11	V	19	V	9	V	22	V	57	V	0,9	V	338	V	10,4	V	49	V	1007	V	109	V	0	V
2/2/2011 0:00	3	V	0,2	V	6	V	30	V	14	V	26	V	12	V	39	V	49	V	0,7	V	356	V	9,8	V	49	V	1009	V	119	V	0	V
3/2/2011 0:00	3	V	0,1	V	6	V	23	V	10	V	19	V	8	V	30	V	51	V	0,7	V	303	V	10,3	V	51	V	1013	V	141	V	0	V
4/2/2011 0:00	3	V	0,1	V	9	V	28	V	12	V	26	V	10	V	41	V	42	V	0,8	V	309	V	10,9	V	50	V	1018	V	141	V	0	V
5/2/2011 0:00	3	V	0,1	V	3	V	26	V	18	V	24	V	17	V	29	V	43	V	0,7	V	317	V	11,1	V	59	V	1017	V	142	V	0	V
6/2/2011 0:00	3	V	0,1	V	3	V	22	V	22	V	27	V	21	V	25	V	55	V	0,6	V	14	V	11,1	V	60	V	1014	V	143	V	0	V
7/2/2011 0:00	3	V	 		6	V	24	V	28	V	36	V	26	V	33	V	52	V	0,6	V	343	V	9,5	V	70	V	1011	V	137	V	0	V
8/2/2011 0:00	3	V	 		6	V	28	V	38	V	44	V	36	V	36	V	41	V	0,7	V	318	V	8,6	V	78	V	1009	V	131	V	0	V
9/2/2011 0:00	3	V	 		10	V	26	V	49	V	55	V	47	V	41	V	37	V	0,5	V	353	V	8,9	V	81	V	1008	V	132	V	0	V
