EXPORTACION PROMEDIOS HORARIOS
ESTACION:Alacant - Rabassa	CODIGO:03014009
FECHA Y HORA	SO2		CO		NO		NO2		PM2.5		PM10		PM1		NOx		O3		Veloc.		Direc.		Temp.		H.Rel.		Pres.		R.Sol.		Precip.		
DD/MM/AAAA HH:MM	µg/m³	flag	mg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	µg/m³	flag	m/s	flag	grados	flag	°C	flag	% H.R.	flag	mb	flag	W/m²	flag	l/m²	flag
01/01/2011 01:00	3	V	0,5	V	5	V	20	V	46	V	50	V	44	V	27	V	6	V	0,4	V	316	V	9,4	V	91	V	1004	V	0	V	0,0	V	
01/01/2011 02:00	3	V	0,4	V	3	V	17	V	41	V	43	V	40	V	20	V	8	V	0,6	V	342	V	9,7	V	90	V	1004	V	0	V	0,0	V	
01/01/2011 03:00	3	V	0,4	V	2	V	17	V	33	V	35	V	32	V	18	V	10	V	0,5	V	312	V	10,2	V	88	V	1004	V	0	V	0,0	V	
01/01/2011 04:00	3	V	0,5	V	2	V	26	V	44	V	47	V	42	V	26	V	9	V	0,5	V	223	V	10,4	V	89	V	1004	V	0	V	0,0	V	
01/01/2011 05:00	3	V	0,4	V	5	V	23	V	39	V	43	V	38	V	31	V	7	V	0,4	V	340	V	10,2	V	90	V	1004	V	0	V	0,0	V	
01/01/2011 06:00	3	V	0,5	V	10	V	27	V	38	V	42	V	37	V	42	V	5	V	0,3	V	7	V	10,0	V	90	V	1004	V	0	V	0,0	V	
01/01/2011 07:00	3	V	0,4	V	4	V	18	V	28	V	31	V	27	V	24	V	8	V	0,7	V	342	V	9,0	V	92	V	1004	V	0	V	0,0	V	
01/01/2011 08:00	3	V	0,3	V	2	V	11	V	22	V	23	V	21	V	13	V	13	V	0,8	V	337	V	8,6	V	91	V	1004	V	15	V	0,0	V	
01/01/2011 09:00	3	V	0,2	V	3	V	14	V	21	V	23	V	19	V	19	V	15	V	0,4	V	356	V	10,8	V	86	V	1005	V	91	V	0,0	V	
01/01/2011 10:00	3	V	0,4	V	7	V	22	V	27	V	30	V	25	V	33	V	22	V	0,2	V	6	V	12,9	V	80	V	1005	V	188	V	0,0	V	
01/01/2011 11:00	3	V	0,3	V	2	V	11	V	32	V	37	V	30	V	13	V	47	V	0,3	V	82	V	14,6	V	78	V	1005	V	331	V	0,0	V	
01/01/2011 12:00	3	V	0,3	V	2	V	12	V	36	V	40	V	34	V	14	V	54	V	0,4	V	125	V	15,0	V	76	V	1005	V	382	V	0,0	V	
01/01/2011 13:00	3	V	0,3	V	2	V	11	V	38	V	41	V	35	V	14	V	60	V	0,6	V	118	V	14,6	V	78	V	1004	V	220	V	0,0	V	
01/01/2011 14:00	3	V	0,3	V	2	V	11	V	32	V	35	V	30	V	12	V	57	V	0,7	V	116	V	14,0	V	82	V	1004	V	74	V	0,0	V	
01/01/2011 15:00	3	V	0,2	V	2	V	11	V	32	V	35	V	30	V	12	V	56	V	0,5	V	122	V	13,8	V	84	V	1004	V	54	V	0,0	V	
01/01/2011 16:00	3	V	0,2	V	2	V	12	V	33	V	37	V	31	V	12	V	57	V	0,3	V	114	V	13,9	V	84	V	1004	V	39	V	0,0	V	
01/01/2011 17:00	3	V	0,2	V	2	V	15	V	35	V	38	V	33	V	15	V	50	V	0,2	V	71	V	13,4	V	87	V	1004	V	0	V	0,0	V	
01/01/2011 18:00	3	V	0,4	V	2	V	30	V	41	V	44	V	39	V	32	V	31	V	0,1	V	30	V	12,9	V	89	V	1004	V	0	V	0,0	V	
01/01/2011 19:00	3	V	0,4	V	4	V	46	V	43	V	47	V	41	V	51	V	18	V	0,1	V	358	V	12,9	V	90	V	1004	V	0	V	0,0	V	
01/01/2011 20:00	3	V	0,4	V	6	V	35	V	46	V	51	V	44	V	43	V	17	V	0,4	V	289	V	12,5	V	90	V	1004	V	0	V	0,1	V	
01/01/2011 21:00	3	V	0,3	V	3	V	32	V	46	V	51	V	45	V	35	V	14	V	0,4	V	281	V	12,1	V	92	V	1004	V	0	V	0,0	V	
01/01/2011 22:00	3	V	0,3	V	2	V	23	V	48	V	65	V	44	V	25	V	18	V	0,4	V	292	V	12,1	V	93	V	1004	V	0	V	0,0	V	
01/01/2011 23:00	3	V	0,3	V	2	V	24	V	45	V	56	V	42	V	25	V	18	V	0,2	V	278	V	11,7	V	92	V	1003	V	0	V	0,0	V	
02/01/2011 00:00	3	V	0,3	V	2	V	20	V	47	V	53	V	44	V	21	V	20	V	0,4	V	270	V	11,3	V	92	V	1003	V	0	V	0,0	V	
02/01/2011 01:00	3	V	0,3	V	2	V	20	V	37	V	47	V	33	V	22	V	17	V	0,8	V	309	V	10,3	V	87	V	1002	V	0	V	0,0	V	
02/01/2011 02:00	3	V	0,1	V	2	V	11	V	13	V	16	V	12	V	12	V	27	V	0,7	V	317	V	9,8	V	82	V	1002	V	0	V	0,0	V	
02/01/2011 03:00	3	V	0,1	V	2	V	6	V	5	V	5	V	4	V	7	V	48	V	0,5	V	357	V	11,6	V	68	V	1002	V	0	V	0,0	V	
02/01/2011 04:00	3	V	0,1	V	2	V	7	V	3	V	3	V	3	V	8	V	48	V	0,6	V	315	V	11,5	V	66	V	1002	V	0	V	0,0	V	
02/01/2011 05:00	3	V	0,1	V	2	V	15	V	5	V	18	V	2	V	17	V	41	V	0,5	V	282	V	12,1	V	65	V	1002	V	0	V	0,0	V	
02/01/2011 06:00	3	V	0,1	V	2	V	11	V	3	V	8	V	2	V	11	V	46	V	0,2	V	95	V	12,9	V	62	V	1002	V	0	V	0,0	V	
02/01/2011 07:00	3	V	0,1	V	2	V	6	V	2	V	4	V	2	V	7	V	50	V	0,3	V	181	V	13,0	V	61	V	1002	V	0	V	0,0	V	
02/01/2011 08:00	3	V	0,1	V	2	V	10	V	3	V	3	V	2	V	11	V	35	V	1,2	V	323	V	10,4	V	74	V	1002	V	1	V	0,0	V	
02/01/2011 09:00	 		0,1	V	2	V	10	V	4	V	4	V	3	V	12	V	38	V	1,0	V	329	V	11,2	V	70	V	1003	V	59	V	0,0	V	
02/01/2011 10:00	 		0,1	V	2	V	10	V	6	V	10	V	4	V	14	V	45	V	0,4	V	276	V	15,0	V	57	V	1003	V	270	V	0,0	V	
02/01/2011 11:00	 		0,1	V	2	V	6	V	5	V	6	V	4	V	8	V	58	V	0,8	V	242	V	16,3	V	47	V	1003	V	360	V	0,0	V	
02/01/2011 12:00	 		0,1	V	2	V	4	V	4	V	5	V	3	V	6	V	65	V	1,0	V	292	V	17,4	V	41	V	1002	V	393	V	0,0	V	
02/01/2011 13:00	 		0,1	V	2	V	5	V	3	V	4	V	2	V	6	V	70	V	1,4	V	333	V	17,9	V	35	V	1002	V	329	V	0,0	V	
02/01/2011 14:00	 		0,1	V	2	V	7	V	3	V	4	V	3	V	8	V	70	V	1,1	V	347	V	17,7	V	36	V	1001	V	264	V	0,0	V	
02/01/2011 15:00	 		0,2	V	2	V	8	V	4	V	6	V	4	V	9	V	69	V	0,5	V	81	V	17,7	V	40	V	1001	V	243	V	0,0	V	
02/01/2011 16:00	 		0,3	V	2	V	13	V	11	V	13	V	11	V	15	V	62	V	0,7	V	118	V	15,9	V	58	V	1001	V	77	V	0,0	V	
02/01/2011 17:00	 		0,3	V	2	V	16	V	9	V	11	V	8	V	18	V	55	V	0,4	V	127	V	15,0	V	66	V	1002	V	3	V	0,0	V	
02/01/2011 18:00	 		0,4	V	2	V	29	V	13	V	16	V	12	V	31	V	40	V	0,3	V	76	V	14,4	V	72	V	1002	V	0	V	0,0	V	
02/01/2011 19:00	 		0,5	V	2	V	45	V	24	V	28	V	23	V	48	V	21	V	0,3	V	50	V	13,6	V	81	V	1002	V	0	V	0,0	V	
