Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2014	0,9	279	15,2	56	1001	102	0	3	3	1	0,2	3	10	5	15	61
02/01/2014	0,6	223	14,5	67	999	23	0,1	13	12	2	0,3	4	35	14	40	24
03/01/2014	0,6	282	18,2	59	1001	110	0	4	4	1	0,2	3	22	7	27	35
04/01/2014	1,9	259	16,9	50	998	97	0	4	2	1	0,1	2	14	13	17	54
05/01/2014	2,4	295	14,4	42	1003	105	0	2	1	2	0,1	4	21	10	27	59
06/01/2014	0,8	286	14,3	63	1001	118	0	4	3	1	0,2	3	17	6	21	43
07/01/2014	0,6	355	12,6	53	1003	110	0	7	5	2	0,2	14	40	13	61	29
08/01/2014	0,7	7	10,7	66	1005	122	0	10	9	2	0,2	12	38	15	56	22
09/01/2014	0,5	27	10,9	71	1003	103	0	12	11	2	0,2	4	22	14	27	45
10/01/2014	0,4	10	11,7	81	1000	60	0	18	17	2	0,2	4	24	20	29	37
11/01/2014	0,4	333	11	81	1001	40	0,1	16	16	3	0,3	7	27	20	37	21
12/01/2014	0,3	337	12,9	71	1005	108	0	17	16	2	0,3	4	25	20	30	31
13/01/2014	1,2	312	13,8	59	1002	41	0	7	5	2	0,2	13	28	14	49	40
14/01/2014	2,3	292	14,7	50	998	109	0	2	1	2	0	2	11	9	15	61
15/01/2014	0,7	280	14,6	66	998	97	0	4	3	1	0,2	4	19	8	25	40
16/01/2014	0,4	305	12,1	78	993	30	0,2	9	8	2	0,2	14	33	13	54	16
17/01/2014	0,6	306	12,5	58	989	120	0	4	3	3	0,1	8	32	6	43	43
18/01/2014	0,7	265	13,1	75	980	76	1	8	7	2	0,1	1	13	8	15	47
19/01/2014	1,1	288	10,6	64	981	27	0	5	5	3	0,1	3	17	7	22	44
20/01/2014	3	302	12,3	41	996	125	0	4	1	2	0	5	21	24	28	54
21/01/2014	1,5	287	13,1	44	1000	127	0	2	1	2	0,1	3	15	10	19	61
22/01/2014	0,6	291	12,9	65	995	43	0,5	6	5	2	0,1	6	27	8	35	34
23/01/2014	0,6	356	12,2	64	1003	128	0	4	4	3	0	4	25	8	31	41
24/01/2014	1,6	301	15	44	1004	125	0	3	2	4	0,1	3	18	15	22	56
25/01/2014	1,8	310	18,1	47	1002	75	0	3	1	3	0,2	3	15	12	19	46
26/01/2014	2	297	18,3	43	1002	140	0	3	1		0,1	6	18	14	26	47
27/01/2014	3,4	305	17,4	44	993	134	0	4	2		0,1	3	13	21	17	57
28/01/2014	2,2	277	12,5	47	991	135	0	3	2		0,1	3	16	15	20	59
29/01/2014	1,3	296	11,1	58	982	63	0,3	3	2	1	0,3	4	19	7	24	50
30/01/2014	1,9	308	11,9	43	989	143	0	2	1	2	0,2	3	11	10	14	58
31/01/2014	0,9	320	13	55	994	123	0	3	2	1	0,2	2	19	7	22	48
01/02/2014	1,5	282	15,5	52	993	71	0	3	2	2	0,2	2	10	12	13	53
02/02/2014	0,8	318	11,1	38	1000	145	0	2	2	2	0	1	8	6	10	64
03/02/2014	1,2	284	10,1	50	996	103	0	4	3	2	0,1	4	16	12	22	52
04/02/2014	1	234	12,3	53	998	134	0	4	2	2	0,2	3	14	8	18	61
05/02/2014	1,1	319	14	67	994	63	0	5	4	1	0,3	6	17	12	25	43
06/02/2014	0,4	251	14,5	74	996	148	0	10	8	2	0,1	6	26	15	34	38
07/02/2014	2	277	15,4	41	999	150	0	3	1	3	0	2	7	16	11	66
08/02/2014	1,1	241	14,7	49	995	95	0	5	3			1	6	12	8	63
09/02/2014	0,7	348	13,5	61	992	82	0	5	3			1	7	7	9	65
10/02/2014	3,5	288	13	45	988	67	0,2	5	2	3		3	11	30	15	63
11/02/2014	2,1	285	11,1	46	1000	62	0	3	1	4		2	7	12	10	67
12/02/2014	0,9	268	13,9	61	1000	163	0	3	2	1		3	11	8	15	55
13/02/2014	1,2	267	19,4	56	999	94	0	3	2	2		3	10	12	15	41
14/02/2014	0,5	190	16,9	71	997	167	0	5	4	2		7	21	8	31	28
15/02/2014	0,3	101	14,6	76	993	152	0	11	7	2		6	27	19	35	24
16/02/2014	0,5	134	13,9	79	997	148	0	7	5	1		1	6	12	8	51
17/02/2014	0,5	54	13,2	75	996	90	0	4	3	1		1	10	7	12	51
18/02/2014	0,7	278	13,8	67	993	89	0	6	4	1	0,3	4	15	17	21	42
19/02/2014	0,9	345	13,3	64	1001	167	0	8	4	2	0,2	4	16	26	23	39
20/02/2014	1,3	300	16,3	49	1001	174	0	6	3	2	0,1	3	13	27	18	50
21/02/2014	1,3	312	16,9	45	1000	180	0	3	1	3	0,2	2	9	15	13	56
22/02/2014	0,9	345	13,2	41	1005	187	0	3	2	2	0	1	9	12	11	66
23/02/2014	0,6	37	11,3	62	1003	191	0	5	5	1	0,1	1	9	7	11	64
24/02/2014	0,6	284	10,8	74	1000	107	0	6	5	2	0,1	3	16	10	21	60
25/02/2014	1,9	303	15,3	48	1002	175	0	4	2	2	0,1	2	6	20	9	65
26/02/2014	1,9	317	14,8	40	1006	147	0	4	2	2	0,1	2	8	14	10	70
27/02/2014	1,3	304	13	46	1009	126	0	5	2	2	0,1	2	13	27	16	58
28/02/2014	2,3	295	17,1	44	1000	100	0	9	3	2	0,1	2	11	63	15	60
01/03/2014	1,4	270	16,7	51	990	41	0,1	2	1	2	0,1	1	5	6	7	61
02/03/2014	2,3	294	20	49	987	187	0	1	0	1	0,3	2	4	6	7	46
