Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
		m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2014	00	2,4	303	14,9	43	1002	0	0	2	1	1	0,2	1	2	9	3	76
01/01/2014	01	1,8	301	14,8	47	1002	0	0	1	1	1	0,2	1	1	4	2	77
01/01/2014	02	0,9	272	14,4	49	1002	0	0	1	1	1	0,2	1	1	5	3	74
01/01/2014	03	1	253	14,8	50	1002	0	0	1	1	1	0,2	1	1	1	2	75
01/01/2014	04	0,3	143	14,5	52	1001	0	0	2	1	1	0,2	1	2	2	4	72
01/01/2014	05	0,6	332	14,6	51	1001	0	0	1	1	1	0,2	1	3	1	5	71
01/01/2014	06	0,4	213	14,6	52	1002	0	0	1	1	1	0,2	1	2	1	4	72
01/01/2014	07	0,5	314	14,3	56	1002	0	0	1	1	1	0,2	1	2	1	4	67
01/01/2014	08	1,2	281	14,3	57	1002	2	0	1	1	1	0,3	1	2	1	3	68
01/01/2014	09	1,2	306	14,4	58	1003	82	0	1	1	1	0,3	1	2	1	4	65
01/01/2014	10	1,6	319	16,8	52	1003	274	0	1	0	1	0,2	1	1	1	3	69
01/01/2014	11	1,5	313	18,8	45	1003	422	0	0	0	0	0	1	0	1	2	71
01/01/2014	12	1,3	272	19,2	43	1002	497	0	1	1	0	0	1	1	1	3	71
01/01/2014	13	1,6	221	18	47	1001	452	0	3	3	1	0,2	1	3	4	3	70
01/01/2014	14	1,5	212	18,5	47	1000	341	0	2	2	1	0,1	2	2	3	5	72
01/01/2014	15	1,6	208	17,6	52	1000	255	0	2	2	1	0,1	1	2	3	4	74
01/01/2014	16	1,2	210	16,1	58	1000	111	0	3	2	1	0,1	1	4	3	5	74
01/01/2014	17	0,6	224	15,2	62	1000	12	0	4	3	2	0,1	1	5	4	6	74
01/01/2014	18	0,2	284	14,7	62	1000	0	0	4	3	2	0,2	1	6	5	8	68
01/01/2014	19	0,1	267	14,8	60	1000	0	0	4	4	2	0,2	1	7	5	9	66
01/01/2014	20	0,1	17	13,9	63	1000	0	0	6	5	3	0,3	25	64	13	102	24
01/01/2014	21	0,4	344	12,9	68	1000	0	0	14	13	3	0,6	23	64	22	99	9
01/01/2014	22	0,4	333	12,6	70	1000	0	0	8	8	2	0,4	1	23	9	24	25
01/01/2014	23	0,3	268	13,2	67	1000	0	0	8	8	2	0,4	1	18	9	19	32
02/01/2014	00	0,1	340	12,8	69	1000	0	0	12	12	2	0,4	1	30	13	32	22
02/01/2014	01	0,1	83	13	69	999	0	0	12	11	2	0,4	1	26	13	28	25
02/01/2014	02	0,4	245	13,2	67	999	0	0	11	11	2	0,3	1	35	12	37	20
02/01/2014	03	0,3	232	12,5	69	999	0	0	14	13	2	0,4	2	29	14	31	23
02/01/2014	04	0,3	293	12,7	68	998	0	0	10	10	2	0,4	2	20	11	22	26
02/01/2014	05	0,2	230	13,8	63	998	0	0	7	7	2	0,4	1	16	7	17	36
02/01/2014	06	0,4	194	13,5	65	998	0	0	7	7	2	0,4	1	16	7	18	36
02/01/2014	07	0,2	205	12,5	71	998	0	0	8	7	2	0,4	2	31	8	33	17
02/01/2014	08	0,1	90	13,4	70	999	0	0	7	5	2	0,5	19	47	12	77	12
02/01/2014	09	0,3	261	15,1	61	999	4	0	2	2	2	0,3	2	27	2	29	37
02/01/2014	10	0,5	292	14,5	64	1000	19	0	4	3	2	0,3	13	47	7	67	19
02/01/2014	11	0,6	228	15,6	61	1000	100	0	4	3	2	0,2	5	37	5	46	30
02/01/2014	12	1,5	241	16,3	59	999	125	0	4	4	2	0,1	7	36	5	47	34
02/01/2014	13	1,2	232	16,7	56	999	107	0	5	4	2	0,2	3	28	6	33	41
02/01/2014	14	1,4	232	16,4	58	998	86	0	11	10	2	0,1	3	31	12	35	39
02/01/2014	15	1,6	221	15,8	63	998	71	0	25	24	2	0,2	4	39	28	45	31
02/01/2014	16	1,3	226	16	63	998	34	0	20	19	1	0,2	4	42	23	48	25
02/01/2014	17	1	208	15,6	65	998	2	0	15	14	1	0,2	3	49	17	53	18
02/01/2014	18	0,7	221	15,1	69	999	0	0	35	34	1	0,4	2	54	37	57	13
02/01/2014	19	0,5	204	15	69	999	0	0	20	19	1	0,3	5	58	22	66	7
02/01/2014	20	0,6	191	15	70	999	0	0	16	16	1	0,3	1	43	17	44	16
02/01/2014	21	1	234	14,5	74	1000	0	0,1	15	15	1	0,3	1	26	16	27	27
02/01/2014	22	0,6	244	13,8	79	1000	0	0	20	19	1	0,4	1	22	20	24	25
02/01/2014	23	0,1	61	13,6	81	1000	0	0	16	15	1	0,4	2	38	16	40	11
03/01/2014	00	0,3	172	13,5	82	1000	0	0	15	15	1	0,5	2	39	16	41	11
03/01/2014	01	0,5	228	13	84	1000	0	0	17	17	1	0,4	1	32	18	34	11
03/01/2014	02	0,3	31	13,8	80	1000	0	0	12	12	1	0,3	2	27	13	29	18
03/01/2014	03	0,2	330	14	77	1000	0	0	9	9	1	0,3	2	20	9	22	23
03/01/2014	04	0,2	314	14	76	1000	0	0	7	7	1	0,3	1	14	7	16	24
03/01/2014	05	0,4	247	15,2	71	1000	0	0	6	6	1	0,4	2	12	7	14	37
03/01/2014	06	0,7	281	14,9	71	1000	0	0	4	3	1	0,4	1	18	6	19	31
03/01/2014	07	0,3	266	13,7	76	1000	0	0	4	3	1	0,3	1	27	4	29	18
03/01/2014	08	0,7	240	14,6	73	1001	5	0	4	4	1	0,4	2	31	4	35	21
03/01/2014	09	0,6	259	17,4	65	1001	140	0	2	2	1	0,3	4	23	3	29	35
03/01/2014	10	0,9	238	20,2	55	1002	294	0	1	1	1	0,3	4	20	2	26	42
03/01/2014	11	0,7	211	21,6	50	1002	401	0	2	2	1	0,1	4	17	3	23	46
03/01/2014	12	0,4	201	22,8	47	1001	456	0	3	2	1	0,1	3	18	4	23	48
03/01/2014	13	0,9	216	22,7	47	1001	456	0	4	4	1	0,1	3	15	5	19	52
03/01/2014	14	1,1	236	23,1	47	1000	403	0	3	3	1	0,1	2	11	4	14	54
03/01/2014	15	1,3	308	24,2	39	1000	309	0	1	0	1	0	2	3	2	5	59
03/01/2014	16	1,5	305	23,2	40	1000	158	0	1	0	1	0	2	5	3	7	58
03/01/2014	17	1,6	308	21,3	44	1000	20	0	1	0	1	0	1	10	3	11	54
03/01/2014	18	0,4	316	19,6	48	1001	0	0	3	1	1	0,1	2	43	16	46	24
03/01/2014	19	0,1	106	18,6	56	1001	0	0	6	5	1	0,4	21	70	20	102	9
03/01/2014	20	0,4	351	18,4	52	1001	0	0	2	2	1	0,2	2	25	10	28	39
03/01/2014	21	0,8	304	18,3	51	1001	0	0	3	1	2	0,3	7	36	12	47	27
03/01/2014	22	0,5	300	18	52	1001	0	0	2	1	1	0,1	6	28	3	37	33
03/01/2014	23	0,3	330	17,3	54	1001	0	0	1	1	1	0,1	2	17	1	20	42
04/01/2014	00	0,3	333	16,5	58	1000	0	0	1	1	1	0,1	1	11	3	14	41
04/01/2014	01	0,9	303	17,1	55	1000	0	0	2	1	2	0,1	3	16	6	21	39
04/01/2014	02	0,6	314	17,1	54	1000	0	0	4	1	1	0	4	20	16	25	38
04/01/2014	03	0,8	313	16,5	57	1000	0	0	2	1	1	0	2	14	10	17	42
04/01/2014	04	0,8	273	17,9	52	999	0	0	2	1	1	0	1	6	4	7	56
04/01/2014	05	0,6	220	16,4	57	999	0	0	1	1	1	0,1	1	7	1	9	49
04/01/2014	06	0,4	242	16,2	58	999	0	0	1	1	1	0,1	1	13	2	14	42
04/01/2014	07	0,3	232	15,6	60	999	0	0	3	2	1	0,1	1	27	4	28	28
04/01/2014	08	0,2	132	14,5	66	999	4	0	3	2	1	0,1	2	33	4	36	15
04/01/2014	09	0,3	284	15,8	62	999	39	0	3	2	1	0,2	4	33	7	39	22
04/01/2014	10	0,3	227	16,9	60	999	153	0	12	12	1	0,1	8	33	15	46	25
04/01/2014	11	1	229	19,6	51	999	354	0	3	2	1	0,1	3	13	3	18	47
04/01/2014	12	1,9	218	20	50	998	401	0	6	5	1	0,1	3	12	7	16	51
04/01/2014	13	2,4	222	20,9	44	996	461	0	3	3	1	0,1	2	6	4	8	64
04/01/2014	14	1,6	203	20,9	50	995	412	0	4	3	1	0,1	2	8	5	10	61
04/01/2014	15	2	201	20,3	53	993	312	0	3	2	1	0,1	1	6	5	8	62
04/01/2014	16	1,8	200	20,4	52	993	163	0	4	2	1	0,1	1	5	7	7	62
04/01/2014	17	1,7	228	20,2	43	992	33	0	3	2	1	0,1	2	8	7	10	61
04/01/2014	18	3,2	269	20,8	29	994	0	0	7	1	2	0,1	2	6	62	8	71
04/01/2014	19	4,2	310	14	55	997	0	0	4	0	2	0	2	10	24	13	70
04/01/2014	20	4,9	289	14,3	43	998	0	0	10	2	2	0	3	14	85	18	72
04/01/2014	21	2,9	291	13,7	39	1000	0	0	3	1	2	0	4	23	13	29	67
04/01/2014	22	4,3	308	13	37	1000	0	0	3	1	2	0	3	19	19	25	72
04/01/2014	23	4,6	319	12,3	35	1001	0	0	1	0	2	0	1	1	4	2	89
05/01/2014	00	3,9	317	12,2	35	1003	0	0	1	0	3	0	1	1	2	3	90
05/01/2014	01	3,8	303	12,4	33	1002	0	0	4	1	2	0	4	31	20	37	58
05/01/2014	02	3,3	304	12,3	32	1002	0	0	5	1	2	0	6	40	33	48	49
05/01/2014	03	3,5	317	11,9	33	1003	0	0	2	1	3	0	5	29	10	37	56
05/01/2014	04	4,5	321	11,7	37	1003	0	0	1	1	3	0	1	1	2	3	82
05/01/2014	05	3,6	290	11,3	42	1004	0	0	2	1	3	0	8	28	6	40	56
