Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10
	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³
01/01/2015	11	43	0.5	342	9.2	67	1016	114	0	7	6	3	0.2	2	9	8
02/01/2015	28	28	0.4	302	9.4	66	1019	119	0	10	9	3	0.2	5	21	13
03/01/2015	21	34	0.6	284	12.4	46	1017	123	0	7	7	3	0.2	3	17	13
04/01/2015	22	38	0.4	6	14.2	49	1013	121	0	7	5	3	0.2	4	17	13
05/01/2015	18	34	0.4	339	10.9	80	1011	116	0	10	9	3	0.1	3	13	12
06/01/2015	22	24	0.2	11	9.7	84	1007	108	0.1	14	13	3	0.2	4	17	15
07/01/2015	25	30	0.3	353	10.7	81	1012	81	0	16	15	3	0.2	5	18	17
08/01/2015	34	28	0.4	331	10.2	80	1019	111	0	21	20	3	0.2	8	23	25
09/01/2015	30	28	0.5	292	10.2	71	1023	124	0	14	13	3	0.2	6	21	18
10/01/2015	26	31	0.4	276	12.9	48	1015	130	0	8	7	3	0.2	4	21	18
11/01/2015	26	45	0.6	346	15.1	41	1011	125	0	5	4	3	0.2	7	16	12
12/01/2015	25	34	0.5	16	12.3	69	1015	109	0	6	5	3	0.2	4	19	10
13/01/2015	33	33	0.5	319	12.2	68	1008	115	0	9	8	3	0.2	6	24	16
14/01/2015	43	29	0.4	352	13.9	59	1007	114	0	9	7	3	0.2	9	30	18
15/01/2015	37	25	0.5	300	12.1	72	1001	121	0	15	14	3	0.2	7	27	23
16/01/2015	33	32	1	307	12.1	58	997	75	0	9	7	3	0.1	8	21	25
17/01/2015	19	45	0.7	308	9.9	53	1004	133	0	5	3	3	0.2	3	15	12
18/01/2015	13	42	0.3	317	8.5	62	998	101	1.8	6	6	3	0.2	2	10	9
19/01/2015	16	39	0.6	0	9.7	78	989	40	1.8	2	2	3	0.1	2	13	2
20/01/2015	20	43	0.9	317	9	49	992	136	0	3	2	3	0.1	3	16	8
21/01/2015	19	40	1.1	299	9.2	57	991	141	0	4	4	3	0.1	5	12	10
22/01/2015	22	43	1.1	315	9.8	54	994	110	0	3	2	3	0.1	5	15	10
23/01/2015	20	44	0.7	329	9.6	49	1001	87	0	2	2	3	0.1	4	16	6
24/01/2015	25	42	0.6	304	10.4	42	1004	134	0	4	2	3	0.1	4	19	16
