Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10
		µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³
01/01/2015	00	12	43	0.6	11	9.9	50	1011	0	0	7	7	3	0.2	2	10	8
01/01/2015	01	19	29	0.4	2	8	65	1012	0	0	8	7	3	0.2	2	17	9
01/01/2015	02	11	30	0.5	347	5.9	69	1012	0	0	7	7	3	0.2	2	10	7
01/01/2015	03	9	30	0.6	347	5.4	67	1013	0	0	7	7	3	0.2	2	7	8
01/01/2015	04	8	31	0.5	347	5.3	69	1014	0	0	6	6	3	0.2	2	6	7
01/01/2015	05	12	27	0.5	352	5.4	69	1014	0	0	6	6	3	0.2	2	10	7
01/01/2015	06	8	31	0.8	335	5	72	1015	0	0	6	6	3	0.2	2	6	6
01/01/2015	07	7	30	0.7	341	4.7	76	1016	0	0	6	5	3	0.1	2	5	6
01/01/2015	08	8	27	0.8	333	4.5	76	1017	20	0	7	7	3	0.1	2	5	7
01/01/2015	09	8	32	0.6	333	7.3	71	1018	158	0	6	6	3	0.1	2	6	7
01/01/2015	10	8	40	0.1	343	11.7	62	1018	296	0	5	5	3	0.1	2	5	6
01/01/2015	11	7	64	0.2	36	14.3	55	1018	416	0	5	4	3	0.1	2	4	7
01/01/2015	12	6	70	0.1	23	15.5	48	1017	474	0	4	3	3	0.2	2	4	7
01/01/2015	13	6	71	0.2	161	15.4	49	1017	470	0	4	3	3	0.1	2	4	6
01/01/2015	14	7	72	0.2	162	15	51	1016	410	0	4	3	3	0.1	2	4	6
01/01/2015	15	6	73	0.3	158	14.8	54	1017	300	0	4	3	3	0.1	2	4	6
01/01/2015	16	6	73	0.3	154	14.4	56	1017	158	0	4	3	3	0.1	2	4	6
01/01/2015	17	6	72	0.1	159	13.4	59	1017	26	0	4	3	3	0.1	2	4	6
01/01/2015	18	16	58	0.1	217	12.4	62	1018	0	0	6	5	3	0.1	2	14	8
01/01/2015	19	62	8	0.4	324	9.1	72	1018	0	0	13	11	3	0.3	6	52	22
01/01/2015	20	16	30	0.5	331	7.7	79	1018	0	0	10	9	3	0.2	2	14	12
01/01/2015	21	12	31	0.7	331	7.2	81	1018	0	0	9	8	3	0.2	2	10	10
01/01/2015	22	9	34	0.6	333	6.7	82	1018	1	0	9	8	3	0.2	2	7	9
01/01/2015	23	7	36	0.9	330	6	83	1018	0	0	8	7	3	0.2	2	5	8
02/01/2015	00	8	34	0.8	329	5.8	84	1018	0	0	8	8	3	0.2	2	7	9
02/01/2015	01	13	29	0.7	328	6	83	1018	1	0	12	11	3	0.2	2	11	13
