Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.
	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²
01/01/2016	10	9	3	0.2	3	15	13	18	37	0.4	9	14.3	87	1005	102	0
02/01/2016	7	5	4	0.3	2	9	28	12	52	1.5	318	14.7	67	1002	91	0
03/01/2016	3	2	3	0.1	2	10	12	12	63	0.8	246	15.4	60	999	80	0
04/01/2016	3	2	3	0.2	6	18	16	26	36	0.8	251	18	60	988	49	0
05/01/2016	3	1	3	0.3	2	9	42	12	68	1.7	289	15.5	50	989	110	0
06/01/2016	3	1	4	0.2	2	9	37	12	71	2.4	281	12.4	49	998	101	0
07/01/2016	2	1	3	0.1	2	5	27	7	70	2.5	260	18.7	50	998	84	0
08/01/2016	4	3	3	0.2	9	25	17	38	31	0.4	255	16.8	66	995	124	0
09/01/2016	3	3	3	0.2	3	12	18	17	57	1.1	276	17.3	51	993	85	0
10/01/2016	2	2	3	0.1	2	11	11	13	62	0.8	251	14.7	58	995	107	0
11/01/2016	2	1	4	0.1	4	15	26	19	62	1.3	277	16.8	50	995	107	0
12/01/2016	4	2	4	0.1	3	13	54	18	68	2.4	312	14.6	45	1004	136	0
13/01/2016	3	2	3	0.2	5	17	23	23	51	0.5	314	11.4	61	1008	120	0
14/01/2016	6	5	3	0.3	7	25	29	35	33	0.5	284	13.4	64	1001	94	0
15/01/2016	1	1	3	0.1	3	12	2	15	53	0.7	27	13	68	1002	25	3.8
16/01/2016	2	2	4	0.3	2	11	7	14	63	1.6	343	10.1	39	1009		0.1
17/01/2016	4	3	3	0.5	4	14	9	19	48	0.5	304	8.2	52	1007		0
18/01/2016	3	2	3	0.4	3	15	34	18	60	1.4	290	15.4	38	999		0
19/01/2016	3	2	3	0.1	3	18	17	21	53	0.4	328	13.8	56	1000		0
20/01/2016	6	6	4	0.2	5	22	18	29	36	0.5	308	11.8	71	999	113	0
21/01/2016	4	3	4	0.1	4	19	14	24	49	0.6	341	13.7	60	1003	125	0
22/01/2016	8	7	3	0.2	12	28	13	46	30	0.3	42	13.1	80	1010	114	0
23/01/2016	9	9	3	0.2	3	18	13	22	24	0.3	5	12.9		1015	106	0
24/01/2016	9	9	4	0.2	3	14	11	17	42	0.3	31	13	87	1015	141	0
25/01/2016	8	8	4	0.1	5	18	12	26	37	0.3	9	12.1		1013	92	0
26/01/2016	12	11	3	0.1	4	22	18	28	40	0.2	15	14.4	88	1012	53	0
27/01/2016	14	13	3	0.2	8	21	21	32	36	0.2	352	13.3	88	1011	73	0
28/01/2016	16	15	3	0.1	5	19	25	25	36	0.3	306	12.5		1011	103	0
29/01/2016	14	13	4	0.2	6	22	21	30	41	0.2	39	14.1	84	1013	76	0
30/01/2016	13	12	3	0.1	2	15	21	17	49	0.5	298	13.7	74	1014	143	0
31/01/2016	6	5	3	0.1	3	14	17	17	54	0.8	344	15.5	57	1012	132	0
01/02/2016	4	4	3	0.1	4	18	12	23	39	0.4	357	14.8	70	1012	159	0
02/02/2016	10	9	3	0.1	6	23	23	32	34	0.4	285	13.5	78	1009	165	0
03/02/2016	15	14	3	0.1	7	22	22	32	35	0.2	351	13	88	1009	121	0
04/02/2016	4	4	3	0.2	4	20	16	24	49	0.4	20	11.4	71	1016	87	0
05/02/2016	4	3	3	0.2	5	18	8	25	49	0.5	18	11.1	80	1011	158	0
06/02/2016	7	6	3	0.2	3	17	13	21	47	0.5	284	12	82	1003	139	0
07/02/2016	4	2	3	0.3	2	11	20	14	66	2.1	285	14.5	53	1000	143	0.5
08/02/2016	3	1	3	0.1	3	13	22	16	64	1.7	300	16.6	49	1006	179	0
09/02/2016	3	2	3	0.1	2	11	22	14	64	1.9	275	17.1	46	1001	139	0
10/02/2016	1	1	3	0.1	2	7	12	10	63	2.2	268	19.8	50	997	93	0
11/02/2016	2	1	3	0.1	3	13	13	17	54	1.2	263	20.2	50	995	63	0
12/02/2016	2	1	3	0.1	3	11	10	14	55	2.1	250	19.5	51	993	93	0
13/02/2016	2	1	4	0.1	2	7	16	9	44	2.1	259	21.4	52	990	88	0
14/02/2016	3	1	3	0.2	2	10	43	12	72	3.1	281	16.2	45	984	154	0
15/02/2016	1	1	3	0.2	2	10	7	12	73	2	328	12.2	44	991	165	0.2
