Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.
		µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²
01/01/2016	00	14	13	3	0.3	3	17	19	20	10	0.7	336	12.4	86	1007	0	0
01/01/2016	01	11	10	3	0.3	2	17	14	19	10	0.5	351	12.6	86	1006	0	0
01/01/2016	02	9	9	3	0.3	2	19	12	22	7	0.4	354	13.2	85	1006	0	0
01/01/2016	03	6	6	3	0.2	2	14	9	16	15	0.2	356	13.4	84	1006	0	0
01/01/2016	04	4	4	3	0.2	2	13	5	15	15	0.4	358	12.7	86	1006	0	0
01/01/2016	05	4	3	3	0.2	2	12	4	14	15	0.4	8	12.1	88	1005	0	0
01/01/2016	06	3	3	3	0.2	2	14	4	17	11	0.5	350	11.6	89	1005	0	0
01/01/2016	07	2	2	3	0.1	2	6	3	7	21	0.8	333	10.6	92	1006	0	0
01/01/2016	08	3	3	3	0.1	2	11	4	13	21	0.6	18	12	93	1006	30	0
01/01/2016	09	6	5	3	0.1	3	13	7	17	25	0.3	16	14.5	89	1006	163	0
01/01/2016	10	7	7	3	0.1	2	8	12	9	42	0.3	20	16.2	88	1007	206	0
01/01/2016	11	7	6	4	0.1	2	6	11	8	60	0.2	77	17.2	84	1007	235	0
01/01/2016	12	5	4	4	0.1	2	6	8	8	71	0.3	139	18.2	77	1006	434	0
01/01/2016	13	5	4	4	0.1	2	7	7	9	72	0.4	161	18.2	77	1005	490	0
01/01/2016	14	6	5	4	0.1	2	7	8	9	76	0.3	151	18.2	76	1004	405	0
01/01/2016	15	9	8	4	0.1	2	9	12	12	79	0.3	170	18.1	77	1003	297	0
01/01/2016	16	14	13	3	0.1	2	9	16	11	86	0.4	158	17.1	80	1003	156	0
01/01/2016	17	12	12	3	0.1	2	8	17	11	86	0.2	182	16.4	82	1003	20	0
01/01/2016	18	14	13	3	0.1	2	11	21	13	71	0.1	228	15.4	86	1003	0	0
01/01/2016	19	15	14	3	0.2	7	28	20	38	44	0.1	345	14.4	89	1003	0	0
01/01/2016	20	21	19	4	0.5	15	55	29	77	7	0.1	73	14.4	90	1003	0	0
01/01/2016	21	21	20	4	0.5	6	32	29	41	7	0.3	332	12.2	92	1003	0	0
01/01/2016	22	18	18	3	0.5	2	22	25	26	10	0.3	346	11.5	95	1002	0	0
01/01/2016	23	16	15	3	0.5	2	17	20	20	11	0.3	343	11.1	95	1002	0	0
02/01/2016	00	10	10	3	0.4	2	8	13	10	22	0.6	325	10.7	96	1002	0	0
02/01/2016	01	11	11	3	0.4	2	7	13	9	24	0.6	328	10.2	96	1001	0	0
02/01/2016	02	14	13	3	0.4	2	8	15	10	22	0.7	330	10.3	97	1001	0	0
02/01/2016	03	16	15	3	0.4	2	10	20	12	21	0.1	301	10.5	97	1001	0	0
02/01/2016	04	14	13	4	0.4	2	8	15	10	21	0.6	315	9.9	98	1001	0	0
02/01/2016	05	13	12	3	0.3	3	8	14	11	23	0.1	319	10.5	98	1000	0	0
02/01/2016	06	12	12	4	0.3	2	15	15	17	17	0.1	338	11.4	97	1001	0	0
02/01/2016	07	8	8	3	0.3	2	12	10	15	19	0.2	329	12.3	95	1001	0	0
02/01/2016	08	7	6	3	0.2	2	9	8	10	37	0.1	275	13.8	90	1001	4	0
02/01/2016	09	11	11	4	0.3	4	17	14	22	31	0.1	177	14.8	85	1002	129	0
02/01/2016	10	8	7	3	0.2	7	20	22	30	33	0.6	256	18	74	1002	370	0
02/01/2016	11	2	1	3	0.1	2	6	18	8	65	2.3	317	19.8	60	1002	327	0
02/01/2016	12	4	2	4	0.1	2	6	53	8	71	3	314	18.6	56	1002	247	0
02/01/2016	13	5	2	4	0.1	3	8	66	12	72	3.4	314	17.5	52	1002	187	0
02/01/2016	14	2	1	4	0.1	2	5	20	7	80	2.7	316	19.6	42	1001	388	0
02/01/2016	15	5	2	4	0.2	2	4	73	7	83	3.6	318	19.4	38	1001	321	0
02/01/2016	16	4	2	4	0.2	2	4	59	6	85	4	321	18	38	1002	173	0
02/01/2016	17	5	2	4	0.2	2	8	63	10	79	3.7	314	16.9	40	1003	31	0
02/01/2016	18	6	2	4	0.4	3	28	81	33	45	2.1	313	16.1	42	1004	0	0
02/01/2016	19	3	1	4	0.3	2	7	18	10	76	2	310	15.4	46	1005	0	0
02/01/2016	20	3	1	4	0.3	2	9	26	10	72	1.3	334	15.1	49	1005	0	0
02/01/2016	21	3	2	4	0.3	2	10	19	12	65	0.6	323	14.1	53	1005	0	0
02/01/2016	22	2	1	4	0.3	2	6	6	9	71	2.5	330	14.2	54	1005	0	0
02/01/2016	23	2	2	4	0.2	2	5	7	7	75	1.2	347	14.1	53	1004	0	0
03/01/2016	00	2	2	4	0.3	2	6	8	8	65	0.1	21	12.9	57	1004	0	0
03/01/2016	01	4	2	4	0.3	2	15	30	17	52	0.2	348	12	58	1003	0	0
03/01/2016	02	3	2	4	0.2	2	12	17	14	61	0.9	309	12.7	57	1002	1	0
03/01/2016	03	5	2	4	0.2	2	12	44	15	65	1.1	294	13.5	54	1002	1	0
03/01/2016	04	3	2	4	0.2	2	8	18	10	69	0.6	296	13	55	1002	1	0
03/01/2016	05	2	1	4	0.2	2	7	15	8	67	0.3	239	12.8	57	1002	0	0
03/01/2016	06	3	1	4	0.2	2	7	20	9	64	0.3	264	12.4	59	1001	0	0
03/01/2016	07	3	2	4	0.2	2	7	18	9	65	0.5	258	12.5	61	1001	0	0
03/01/2016	08	1	1	4	0.1	2	6	3	8	68	0.3	232	13.3	60	1001	11	0
03/01/2016	09	1	1	4	0.1	2	4	2	7	75	1	279	14.7	58	1001	69	0
03/01/2016	10	1	1	4	0.1	2	4	2	6	75	1.4	272	15.7	55	1001	246	0
03/01/2016	11	1	1	3	0.1	2	4	2	6	76	1.2	254	16.3	54	1001	271	0
03/01/2016	12	2	2	3	0.1	2	6	5	8	72	0.8	213	17.4	52	1000	453	0
03/01/2016	13	4	4	4	0.1	2	7	9	10	75	1.5	217	17.4	53	998	401	0
03/01/2016	14	3	2	3	0.1	2	7	8	10	73	1.7	234	18.3	51	997	230	0
03/01/2016	15	2	2	3	0.1	2	5	5	7	79	1.6	252	19.6	45	996	181	0
03/01/2016	16	3	2	3	0.1	2	7	7	8	72	1.3	237	18.2	52	996	55	0
03/01/2016	17	3	3	3	0.1	2	10	5	12	64	1.8	229	17.4	56	996	5	0
03/01/2016	18	4	3	3	0.1	2	10	9	12	62	1.2	212	16.2	70	996	0	0
03/01/2016	19	5	4	3	0.1	2	12	10	14	57	0.5	212	15.9	73	996	0	0
03/01/2016	20	5	4	3	0.1	2	17	14	19	43	0.3	131	15.7	75	995	0	0
03/01/2016	21	4	3	3	0.1	2	20	10	22	40	0.2	159	16.4	71	995	0	0
03/01/2016	22	4	4	3	0.1	2	19	8	21	41	0.5	204	16.2	68	995	0	0
03/01/2016	23	3	3	3	0.1	2	16	8	18	43	0.4	237	16.1	67	994	0	0
04/01/2016	00	3	3	3	0.1	2	15	10	17	42	0.1	6	15.5	67	994	0	0
04/01/2016	01	3	2	3	0.1	2	15	12	17	38	0.2	38	14.7	70	993	0	0
04/01/2016	02	1	1	3	0.1	2	5	1	7	60	1	266	17.2	63	992	0	0
04/01/2016	03	1	1	3	0.1	2	5	1	7	53	1.1	265	16.7	65	991	0	0
04/01/2016	04	1	1	3	0.1	2	6	3	8	46	0.3	262	15.4	68	991	0	0
04/01/2016	05	1	1	3	0.1	2	8	4	10	40	0.2	259	14.8	71	990	0	0
04/01/2016	06	1	1	3	0.1	2	12	5	13	38	0.6	267	15.7	69	990	0	0
04/01/2016	07	2	1	3	0.1	4	30	8	35	9	0.1	249	14.4	72	990	0	0
04/01/2016	08	3	2	4	0.1	22	40	28	73	2	0.1	260	14.7	71	990	11	0
04/01/2016	09	3	2	3	0.1	17	33	17	60	10	0.1	271	15.9	69	990	66	0
04/01/2016	10	3	2	3	0.2	14	27	40	48	16	0.1	281	16.9	68	991	144	0
04/01/2016	11	3	2	3	0.2	8	24	32	36	24	0.1	224	18.1	64	991	147	0
04/01/2016	12	5	3	3	0.2	19	35	26	64	12	0.2	240	18.6	63	989	140	0
04/01/2016	13	5	4	3	0.2	10	29	22	44	19	0.2	242	19	63	988	153	0
04/01/2016	14	4	3	3	0.1	5	20	16	28	32	1.7	239	20.8	57	986	158	0
04/01/2016	15	2	1	3	0.1	2	10	12	13	47	2.2	234	22.6	49	986	210	0
04/01/2016	16	4	3	3	0.1	2	16	22	19	42	1.5	232	22.1	51	985	123	0
04/01/2016	17	6	4	3	0.1	2	21	37	23	31	0.5	214	20.4	57	986	17	0
04/01/2016	18	3	2	3	0.1	13	19	26	39	30	0.6	281	20.6	51	986	0	0
04/01/2016	19	2	1	3	0.2	2	12	13	14	50	1.2	263	20.6	45	986	0	0
04/01/2016	20	2	1	3	0.3	2	16	7	18	48	1.2	236	19.4	46	986	0	0
04/01/2016	21	2	1	3	0.3	2	13	12	14	53	2	245	19	46	986	0	0
04/01/2016	22	2	1	3	0.3	2	9	11	11	53	1.9	244	18.6	48	986	0	0
04/01/2016	23	3	2	3	0.3	2	9	11	11	52	0.9	231	18.1	50	986	0	0
05/01/2016	00	3	2	3	0.3	2	8	10	10	50	0.6	233	17.2	52	986	0	0
05/01/2016	01	2	2	3	0.3	2	12	11	14	44	0.3	226	16.7	55	986	0	0
05/01/2016	02	2	1	3	0.3	2	12	11	14	41	0.2	278	16.8	55	986	0	0
05/01/2016	03	2	1	3	0.3	2	6	9	9	54	1.2	318	16.9	60	986	0	0
05/01/2016	04	2	1	3	0.3	3	20	29	23	41	1.4	301	16.7	65	986	0	0
05/01/2016	05	1	1	3	0.2	2	6	5	8	68	1.3	284	16.2	66	986	0	0
05/01/2016	06	1	1	3	0.3	2	5	2	8	77	1.4	267	15.9	64	986	0	0
05/01/2016	07	2	1	3	0.3	2	6	29	7	74	1.4	274	15.6	62	987	0	0
05/01/2016	08	2	1	3	0.4	2	10	39	11	68	1.2	275	15.3	60	987	3	0
05/01/2016	09	3	1	3	0.5	3	19	61	24	52	1.4	300	15.5	55	988	33	0
05/01/2016	10	1	1	3	0.3	2	9	16	12	71	1.1	319	17.2	48	989	262	0
05/01/2016	11	4	1	3	0.1	2	7	72	9	75	2.4	297	17.9	43	989	410	0
05/01/2016	12	6	2	3	0.1	3	8	120	12	75	3	289	17.7	41	988	429	0
05/01/2016	13	5	1	3	0.2	2	6	92	9	79	3.2	305	18.3	37	987	492	0
05/01/2016	14	6	2	3	0.2	2	8	112	12	76	3.3	304	17.6	38	988	448	0
05/01/2016	15	7	2	3	0.2	3	10	122	14	75	2.9	301	17.1	39	988	331	0
05/01/2016	16	6	2	3	0.4	2	8	116	10	80	2.7	287	16.7	34	989	188	0
