Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
06/03/2017														0		
07/03/2017	3		2	11	9	13	77	2,9	312	21,5	42	1004	218	0	3	2
08/03/2017	3		4	18		23	65	0,9	246	17,4	59	1008	225	0		
09/03/2017	3		6	29		38	48	1,1	303	18	66	1007	240	0		
10/03/2017	3		5	30		37	50	1,5	352	19,5	44	1002	223	0		
11/03/2017	3		3	24		26	66	0,7	222	15,3	80	999	230	0		
12/03/2017	3		2	13		14	77	1	97	15,3		996	209	3,4		
13/03/2017	3		2	8		10	88	3,2	38	11,5		998	29	42,9		
14/03/2017	3		2	8		9	95	2,8	60	15,8	66	1006	153	0		
15/03/2017	3	0,2	2	18		20	81	1,5	51	15,1	60	1006	256	0		
16/03/2017	3	0,3	2	17		19	67	1,2	32	13	75	1005	257	0		
17/03/2017	3		3	15		18	71	1,3	39	13,3	74	1004	221	0		
18/03/2017	3		2	14		16	68	1	283	13,4	72	1003	257	0		
19/03/2017														0		
20/03/2017														0		
21/03/2017	4		4	22	29	27	52	1	54	16,5	79	996	221	0	22	19
22/03/2017	4		2	13	9	15	64	1,5	276	16,7	60	995	216	0	5	4
23/03/2017	3				7		75	2,3	281	12,5	48	993	189	0	3	2
24/03/2017	3				8		66	1,1	282	11,5	58	995	145	0	4	3
25/03/2017	3		4	14	6	20	62	1,5	238	12,1	68	998	265	0	5	4
26/03/2017	3	0,2	4	10	7	16	65	1,4	31	13,7	77	998	267	0	5	4
27/03/2017	3	0,2	5	19	9	27	64	1,3	328	15,8	65	1002	225	0	5	3
28/03/2017	3	0,3	7	21	10	32	55	1	245	14,7	80	1008	211	0	8	6
29/03/2017	4	0,2	6	20	14	29	50	0,9	343	14,6	83	1008	270	0	11	9
30/03/2017	3	0,2	5	21	10	28	57	1	37	15	67	1007	268	0	7	5
31/03/2017	3	0,2	6	29	16	38	51	0,9	342	15,1	70	1002	242	0	10	7
01/04/2017	3	0,1	2	11	11	14	70	2,6	310	18,5	44	1000	280	0	4	2
02/04/2017	3	0,1	2	10	7	13	67	1,5	332	15,8	52	1001	284	0	3	2
03/04/2017														0		
04/04/2017	5	0,2	5	22	15	29	59	0,9	195	16,9	61	1003	361	0	7	4
05/04/2017	3	0,2	4	13	9	20	59	1,4	27	15,1	63	1000	227	0	6	5
06/04/2017	3	0,2	3	16	10	20	66	0,8	86	15,2	66	1001	267	0	7	6
07/04/2017	3	0,2	4	14	13	21	66	1,5	32	14,7	65	1001	289	0	11	9
08/04/2017	3	0,2	2	11	14	14	66	1	34	14,5	73	1003	291	0	12	11
09/04/2017	3	0,2	2	8	12	10	60	1,1	44	14,7	79	1006	295	0	11	10
10/04/2017	3	0,2	3	12	14	15	59	1	35	14,6	78	1006	293	0	12	11
11/04/2017	4	0,2	3	18	17	22	53	1,1	266	16	68	1003	302	0	11	9
12/04/2017	3	0,2	4	17	14	23	55	0,9	202	16,1	71	1001	309	0	11	9
13/04/2017	3	0,2	3	17	23	22	54	0,6	35	17,8	78	998	277	0	18	16
14/04/2017	4	0,2	2	14	19	17	68	0,7	41	20,8	58	998	262	0	13	10
15/04/2017	3	0,2	2	11	25	15	56	0,7	80	17,5	85	999	263	0	20	16
16/04/2017	3	0,2	2	8	19	10	57	0,8	198	17,4	85	1003	237	0	16	14
17/04/2017	3	0,1	3	11	14	16	48	0,8	51	17,7	76	999	294	0	11	9
18/04/2017	4	0,2	3	12	11	16	52	0,9	62	17,8	79	997	290	0	9	6
19/04/2017	4	0,1	2	5	9	7	79	2,4	69	16,8	70	1000	180	0	6	4
20/04/2017	4	0,1	2	6	7	9	93	2,4	57	14,8	56	1005	221	0	4	3
21/04/2017	4	0,1	2	8	6	11	99	2,3	53	14,4	58	1008	301	0	4	3
22/04/2017	3	0,1	2	7	5	9	94	1,3	49	14,4	66	1005	256	0	4	3
23/04/2017	3	0,2	2	8	7	11	90	0,9	52	14,3	75	1000	313	0	6	5
24/04/2017	3	0,2	3	13	11	17	87	0,7	86	16	76	998	289	0	8	7
25/04/2017	3	0,2	3	19	19	24	69	0,9	196	17,3	78	992	209	0	14	11
26/04/2017	3		5	17	21	25	74	0,9	70	19,2	71	989	195	0	15	11
27/04/2017	3		2	6	4	8	71	1,2	40	15	82	993	53	2,5	3	3
28/04/2017	4		2	10	3	13	77	1,1	42	12,7	78	998	49	1	3	2
29/04/2017	3		2	6	5	9	91	0,7	79	14,8	71	997	130	0	4	3
30/04/2017	3	0,1	2	6	9	9	74	1,7	249	18,7	69	994	299	0	7	5
01/05/2017	3	0,1	2	6	3	8	96	1,9	358	17,3	54	1001	332	0	2	1
02/05/2017	3	0,1	3	10	6	15	65	1	215	15,7	77	1001	329	0	4	3
03/05/2017	3	0,1	3	10	5	14	66	0,9	52	16,4	78	998	330	0	4	3
04/05/2017	3	0,1	3	8	7	12	71	0,9	62	17,3	76	994	307	0	5	3
05/05/2017	3	0,1	4	12	16	17	65	1,1	179	19,2	79	992	294	0	11	7
06/05/2017	3	0,1	2	8	8	11	81	2,3	290	21	53	998	342	0	4	3
07/05/2017	3	0,1	2	8	6	11	73	0,8	140	19	61	1001	336	0	4	3
08/05/2017	3	0,1	3	16	11	20	70	1	217	19,6	54	998	335	0	4	3
09/05/2017	3	0,1	4	15	7	21	78	0,7	56	20,5	53	991	330	0	4	2
10/05/2017	3	0,1	3	11	12	15	67	0,9	109	19,4	76	986	307	0	7	5
11/05/2017	4		5	16	16	24	52	1,3	218	20	72	985	110	0	9	6
12/05/2017	4		2	8	9	11	77	2,8	262	21,9	47	991	214	0	3	2
13/05/2017	3		2	10	6	14	69	1,4	241	21,5	55	998	346	0	3	2
14/05/2017	3		2	6	5	9	77	1,4	42	22,4	46	1004	346	0	3	2
15/05/2017	4		3	13	8	19	62	1	53	20,7	63	1008	335	0	5	4
16/05/2017	3				9		62	1	38	21	60	1006	269	0	6	5
17/05/2017	4				7		81	1,5	39	21,4	48	1001	321	0	4	3
18/05/2017	4	0,1	4	13	8	19	74	1,3	97	20,2	60	995	314	0	5	3
19/05/2017	4	0,1	2	6	6	9	72	1,2	104	19,2	73	1001	326	0	4	3
20/05/2017	3		2	8	5	10	70	1,3	61	19,1	68	1004	357	0	4	3
21/05/2017	4		2	6	7	8	76	1,4	47	19,3	64	1002	260	0	5	4
22/05/2017	4		2	9	8	12	72	1,4	54	20,8	63	998	328	0	4	3
23/05/2017	3		3	10	10	15	72	1,3	96	21,2	64	1000	349	0	6	3
24/05/2017	4		3	11	9	16	73	1,3	51	21,1	63	1001	351	0	5	4
25/05/2017	4		3	10	9	14	83	1,1	64	22,4	51	997	333	0	5	3
26/05/2017	4	0,1	3	10	8	13	84	1,9	52	23,2	50	996	332	0	5	3
27/05/2017	4	0,1	2	6	10	9	90	2,2	63	24,1	51	998	346	0	6	4
28/05/2017	4		2	5	7	8	102	2,8	49	23,7	45	999	344	0	4	2
29/05/2017	4		2	9	10	12	78	1,2	238	21,1	68	997	200	0,1	7	5
30/05/2017	3		2	8	13	11	71	1,2	94	21,4	76	998	265	0	10	7
31/05/2017	3	0,2	2	7	14	10	69	1,5	62	21,7	75	1000	332	0	11	10
01/06/2017	4	0,2	2	8	13	11	63	1,1	55	22,2	73	1000	344	0	11	9
02/06/2017	4	0,2	3	11	13	15	57	1	63	22,3	72	999	348	0	10	9
03/06/2017	4	0,2	2	7	11	10	65	1,2	69	23	66	997	312	0	8	6
04/06/2017	3	0,1	2	4	13	7	69	1,8	133	23	73	996	240	0	10	8
05/06/2017	3	0,2	2	5	7	8	80	1,5	194	21,7	67	996	346	0	4	3
06/06/2017	4	0,1	2	7	14	11	72	1,5	151	24,3	68	995	352	0	9	7
07/06/2017	3	0,1	2	6	11	8	63	1,6	66	22,5	80	1001	335	0	8	6
08/06/2017	3	0,1	2	6	9	9	58	1,4	56	22,1	74	999	355	0	6	4
09/06/2017	3	0,1	2	6	9	8	56	0,9	82	22,1	79	997	299	0	7	4
10/06/2017	3	0,1	2	5	9	7	57	0,8	84	22,6	82	999	323	0	7	5
11/06/2017	3	0,1	2	5	7	7	70	1,2	42	24,2	53	999	361	0	4	3
12/06/2017	4	0,1	2	6	7	10	75	1,4	56	24,6	54	997	356	0	4	3
13/06/2017	3		2	5	9	8	85	2	49	25,8	52	995	352	0	5	3
14/06/2017	3		2	7	12	10	81	1,2	57	26	53	996	351	0	6	5
15/06/2017	3		2	7	18	10	58	0,9	65	25,1	71	997	341	0	14	11
16/06/2017	3		2	7	16	10	76	1	61	27,5	53	1000	341	0	10	8
17/06/2017	3		2	6	11	8	77	1,2	94	26,8	54	999	345	0	7	6
18/06/2017	3		2	6	8	8	79	0,8	57	27,3	52	997	347	0	5	4
19/06/2017	3	0,1			13		62	1,3	65	25,2	73	1000	325	0	10	8
20/06/2017	4	0,1			9		73	1,2	63	25,6	62	1000	343	0	6	4
21/06/2017	4	0,1			10		61	0,9	109	25,7	59	998	338	0	5	3
22/06/2017	4	0,1			11		53	1,1	193	26	61	1000	342	0	5	3
23/06/2017	4	0,1			13		65	1,3	212	26,1	61	1001	336	0	8	6
24/06/2017	4				17		67	0,8	152	26,4	71	999	328	0	14	12
25/06/2017	3				13		73	1,7	58	27,2	60	996	306	0	10	8
26/06/2017	3				16		62	1,3	183	26,8	66	992	336	0	10	6
27/06/2017	4				24		52	0,9	79	26,3	75	989	218	0,2	17	12
28/06/2017	3	0,1			12		66	4,3	277	29,8	29	989	291	0	3	1
29/06/2017	3	0,2			11		85	3,1	311	25,8	46	991	354	0	8	6
30/06/2017	3	0,2			10		83	2,3	128	24,4	44	995	351	0	3	2
01/07/2017	4	0,1			6		61	1,6	52	21,1	69	1001	206	5,4	4	2
02/07/2017	3	0,1			3		56	1,5	82	22,1	67	1004	351	0	2	2
03/07/2017	4	0,1			3		53	1,1	72	23	68	1003	359	0	2	2
04/07/2017	3	0,1			5		46	1,6	59	23,9	68	1000	360	0	2	1
05/07/2017	3	0,1			15		48	1,4	62	24,5	75	997	341	0,1	5	3
06/07/2017	4	0,1	5	14	35	21	57	1,3	88	26,8	65	997	237	0	10	6
07/07/2017	3	0,1	5	16	62	24	54	2	56	25,7	72	996	165	3,6	21	10
08/07/2017	3	0,1	4	12	44	19	65	1,5	242	26,8	67	995	342	0	20	12
09/07/2017	3	0,1	4	14	40	20	79	1,1	154	27,2	58	994	343	0	14	9
10/07/2017	3	0,1	4	17	43	23	64	0,8	82	26,4	64	994	347	0	15	11
11/07/2017	3	0,1	5	16	41	23	69	1	190	26,4	61	996	335	0	13	9
12/07/2017	3	0,2	5	15	37	22	45	0,8	121	26,6	76	998	331	0	16	10
13/07/2017	3	0,2	3	6	19	11	52	0,9	137	27,2	82	998	303	0	9	7
14/07/2017	4	0,1	3	4	17	8	53	1,2	93	26,2	84	998	158	0	9	5
15/07/2017	4	0,1	3	6	16	10	58	1,1	77	25,9	74	999	301	0	7	4
16/07/2017	3	0,2	3	8	12	13	73	0,9	76	26,6	50	1000	342	0	4	3
17/07/2017	3	0,1	4	9	15	14	69	1,1	60	25,9	62	999	319	0	5	4
18/07/2017	4	0,2	4	11	21	16	61	1,1	67	26,6	67	997	305	0	7	4
19/07/2017	3	0,2	3	8	35	13	67	1,1	110	26,9	68	994	287	0	12	6
20/07/2017	3	0,1	3	8	41	13	60	0,7	113	26,6	82	992	290	0	18	11
21/07/2017	3	0,1	3	7	31	12	59	0,9	115	26,8	79	992	318	0	15	9
