Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
01/01/2019	3	0,1	3	15	7	19	42	2,6	313	11,4	52	1017	134	0	5	5
02/01/2019	3	0,1	8	25	9	37	38	1,9	354	11,9	65	1014	131	0	5	4
03/01/2019	4	0,2	8	25	8	36	30	2	356	9,3	85	1017	37	0,1	5	4
04/01/2019	4	0,1	7	22	10	33	30	2,4	300	9,2	82	1018	126	0,1	7	6
05/01/2019	4	0,1	3	19	15	24	36	2,2	293	9,7	70	1019	128	0	10	10
06/01/2019	5	0,1	5	17	11	24	45	2,1	321	11,6	45	1015	133	0	6	6
07/01/2019	5	0,2	10	24	11	40	35	2,1	10	10,1	69	1016	115	0	7	6
08/01/2019	4	0,2	4	23	12	29	37	2,9	299	10,1	76	1015	131	0	8	7
09/01/2019	3	0,1	6	26	12	35	38	2,2	321	11,9	59	1005	134	0	5	4
10/01/2019	3	0,1	5	23	8	31	48	2,1	8	9,1	50	1006	88	0	3	2
11/01/2019	4	0,1	6	22	13	31	43	2,4	302	6,8	46	1012	139	0	5	4
12/01/2019	4	0,1	3	14	10	18	51	2,3	312	7,7	52	1016	137	0	6	5
13/01/2019	3	0,1	3	16	9	20	48	1,9	340	9,5	62	1013	141	0	5	4
14/01/2019	3	0,2	10	27	11	42	36	2	356	12,4	56	1007	139	0	4	3
15/01/2019	4	0,1	5	22	8	29	42	1,8	6	11,8	73	1009	139	0	5	4
16/01/2019	5	0,1	5	20	13	27	40	2,2	303	10,6	84	1006	131	0	10	9
17/01/2019	4	0,1	3	20	13	25	51	1,6	342	12,1	69	1004	97	0,8	8	8
18/01/2019	3	0,2	7	21	16	31	34	1,7	300	10,3	76	1006	108	0	12	11
19/01/2019	3	0,1	2	10	9	13	61	2,2	286	12,3	52	1003	134	0	5	4
20/01/2019	4	0,1	4	1	6	6	36	2,1	338	11,7	76	998	51	1,1	5	4
