Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
01/01/2020	3		2	8	22	11	38	2,1	302	9,1	88	1020	102	0	19	19
02/01/2020	3		3	13	23	18	44	2,1	306	9,6	85	1020	54	0	18	17
03/01/2020	3		12	23	26	41	19	1,5	1	8,3	84	1019	101	0,1	19	18
04/01/2020	3		3	13	22	17	41	2,1	336	9,1	85	1020	103	0	18	18
05/01/2020	3		2	11	15	13	46	2,4	303	9	78	1017	106	0	13	12
06/01/2020	3	0,1	2	10	15	12		2,4	311	7,9	82	1017	103	0	13	13
07/01/2020	3	0,1	5	17	28	24		2,2	316	8,2	89	1018	95	0	21	20
08/01/2020	3	0,1	10	22	34	36		1,8	3	8,3	87	1017	85	0	23	22
09/01/2020	3	0,1	4	19	28	25		2,2	312	9,8	82	1015	105	0	17	17
10/01/2020	3	0,1	3	15	15	20		2,9	354	10,5	73	1012	68	2,1	10	9
11/01/2020	3	0,1	2	9	9	11		2,1	22	11	68	1017	109	0	4	3
12/01/2020	4	0,1	2	10	11	13		2,2	12	7,7	79	1017	115	0	7	6
13/01/2020	4	0,1	5	19	21	26	25	2,9	281	7,8	72	1013	111	0	9	9
14/01/2020	3	0,1	6	20	38	29	38	2,3	291	9,7	59	1010	117	0	8	7
15/01/2020	3	0,1	10	24	28	39	36	2,4	296	10,6	62	1013	101	0	8	7
16/01/2020	3	0,1	8	28	29	40	31	1,8	5	10,8	74	1015	111	0	10	9
17/01/2020	3	0,1	2	24	31	27	46	2,9	306	13,3	55	1017	104	0	6	5
18/01/2020	3	0,1	3	24	24	28	40	2,2	296	11,8	66	1015	44	0	10	10
19/01/2020	3	0,1	2	11	10	13	62	6,4	1	10,4	67	1002	41	0,5	3	3
20/01/2020	3	0,1	2	11	2	13	61	5,3	22	9,1	84	1003	49	19,3	2	2
21/01/2020	3	0,1	2	15	40	17	62	3,5	66	11,6	88	1001	64	9,5	12	7
22/01/2020	3	0,1	5	23		31	38	2,1	22	10,9	80	1005	101	0,1		
23/01/2020	4	0,1	11	23	58	40	30	2	24	9,3	92	1008	52	0,1	25	13
24/01/2020	3	0,1	3	22	67	26	41	2,1	21	10	86	1008	63	0	15	9
25/01/2020	3	0,1	2	18	28	21	39	1,8	332	10,4	87	1006	53	0	12	9
26/01/2020	4	0,1	2	15	16	18	45	2,9	316	12,1	70	1009	130	0	6	5
27/01/2020	3	0,1	2	13	19	16	63	3,7	281	12,5	58	1011	126	0	4	3
28/01/2020	3	0,1	2	15	11	18	60	4	258	15,1	61	1010	55	0	2	2
29/01/2020	3	0,1	3	14	20	18	57	3,8	295	17,8	56	1010	115	0	2	1
30/01/2020														0		
31/01/2020														0		
01/02/2020	3	0,1	2	11	13	14	50	3,8	302	18,8	62	1011	129	0	2	1
02/02/2020	3	0,1	2	15	20	18	44	2,1	304	17,1	69	1015	126	0	3	2
03/02/2020	3	0,1	8	26	25	38	29	1,8	318	15,3	71	1016	145	0	6	5
04/02/2020	3	0,1	3	20	54	24	41	2,8	334	19,1	50	1012	146	0	7	4
05/02/2020														0		
06/02/2020	3	0,1	4	16	14	22	50	1,7	26	9,9	79	1015	124	0,1	5	4
07/02/2020		0,1	2	15	17	19	58	1,5	312	10,9	79	1012	95	0	5	3
08/02/2020	3	0,1	2	17	24	20	40	2	323	12,1	82	1013	114	0	16	15
09/02/2020	3	0,1	2	14	29	16	61	1,6	247	13,2	85	1018	132	0	17	15
10/02/2020	4	0,1	2	14	19	16	58	3,5	268	16,5	61	1017	150	0	6	5
11/02/2020	3	0,1	7	27	44	37	40	1,6	18	16,8	67	1011	150	0	8	7
12/02/2020	3	0,1	5	18	27	25	48	1,2	30	14,1	86	1011	123	0	14	13
13/02/2020	3	0,1	5	15	23	22	37	2,3	308	15,5	70	1010	142	0	10	9
14/02/2020	3	0,1	4	18	17	24	40	1,8	16	13,7	71	1012	158	0	8	7
15/02/2020	3	0,1	3	16	24	20	47	1,5	337	11,6	87	1014	157	0	18	18
16/02/2020	3	0,1	2	13	37	16	44	1,3	260	11,5	94	1015	146	0,1	29	26
17/02/2020	3	0,1	10	27	47	42	27	0,9	38	13,1	91	1013	137	0,1	28	24
18/02/2020	3	0,1	3	17	15	21	49	1,7	30	12,2	98	1018	12	0,7	11	10
19/02/2020	3	0,1	2	15	14	18	58	0,9	55	13,1	87	1019	69	0	6	5
20/02/2020	4	0,1	3	15	15	20	51	1,7	357	11,4	83	1014	173	0	8	7
21/02/2020	4	0,1	3	18	14	22	54	1,7	360	10,3	85	1017	151	0	8	7
22/02/2020	4	0,1	3	17	23	21	50	1,5	359	10,6	85	1020	178	0	15	14
23/02/2020	4	0,1	2	13	15	16	59	2,2	307	10,9	72	1021	184	0,1	9	8
24/02/2020	4	0,1	4	23	35	30	48	2	313	11,7	67	1014	187	0	9	8
25/02/2020	4	0,1	3	18	81	21	70	5,3	300	20,1	32	1005	171	0	6	4
26/02/2020	4	0,1	3	18	46	22	65	4,4	303	17,2	47	1006	187	0	4	3
27/02/2020	4	0,1	3	16	66	19	65	3,4	295	17,2	38	1008	191	0	6	3
28/02/2020	4	0,1	4	17		23	54	2	341	16,5	43	1009	172	0		
29/02/2020	4	0,1	2	11	168	13	63	3,6	274	16	52	1002	176	0	14	7
01/03/2020	3	0,1	1	6	11	7	74	3,9	269	18,2	49	1002	112	0	2	2
02/03/2020	3	0,1	2	6	65	9	82	8,3	276	17,5	44	997	180	0,3	3	1
03/03/2020	3	0,1	2	9	20	12	74	5,9	275	16	46	1004	135	0	3	2
04/03/2020	4	0,1	3	11	23	15	58	6,5	303	19,9	49	1006	186	0	2	1
05/03/2020	4	0,1	2	12	27	15	66	5,5	296	19	44	1000	188	0	3	2
06/03/2020	4	0,1	2	10	34	13	84	7,1	305	14,9	38	1004	154	0	2	1
07/03/2020	3	0,1	1	7	7	9	86	5	342	13,6	41	1010	182	0	2	1
